SiduriMakorPitzul,Siduri,MbNifkadGalKodem,wave,s_seker,MishkalMb,ozeret,tahasokaozeret,Meconit,k_ShaotOzeret,k_MispMeconiyot1,sumHPensiaShnatit,sumHHishShnatit,sumHGemelShnatit,sumHMilgaShnatit,sumHHulShnatit,sumHAnashimShnatit,HRibitShnatit,HHashkaotShnatit,HDividendShnatit,HSchirutShnatit,HEsekShnatit,SachNefashot,Nefashot18up,Men18Up,Women18Up,Nefashot0_17,k_baalut1,m_DmeSchirutChodeshi,m_SetachMigrashBayitprati,k_mizug,m_ShuviDira,m_MechirDiraKnuyaB12,m_KesefKniyaAtidit,m_HalvaaDiyur,m_HalvaaLoDiyur,m_MisgeretAshrai,m_YeshAshrai,m_Mechirkarka,ADechiyaMoedTashlum1,AKredit1,APrisatTushlum1,AimMekura1,AlutBniya1,AtidMechiraDira1,AtidMechiraDiraN1,BaalutDiraLLoBealim1,BaalutDiraLLoBealimKama1,BaalutDiraNosefet1,BaalutDiraNosefetKama1,BaayaBiluy1,BaayaChinuch1,BaayaChoshech1,BaayaHaznacha1,BaayaKvish1,BaayaMatos1,BaayaMifal1,BaayaRakevet1,BaayaRech1,BaayaZevel1,BaayaZihum1,BituachMenahalimMb1,ChanayaPratit1,ChederAronot1,CheshbonChasum1,ChisachonAtid1,ChisachonHayom1,DiraMedurag1,DiraNosefet121,DiraNosefetP121,GemelVPizuyimMB1,GinaPratit1,GodelGinaPratit1,HagdalatDira1,HalvaaLoDiyurAcher1,HalvaaLoDiyurAshrai1,HalvaaLoDiyurAvoda1,HalvaaLoDiyurBank1,HalvaaLoDiyurBituach1,HalvaaLoDiyurLising1,HasakaPratit1,HaskaChisachon1,HaskaLoNeemanut1,HaskaNeemanut1,HaskaPikdon1,HeviDoch1,kHishMB1,kNeemanutMB1,kPensiaMB1,K_MispHadarim1,K_MispChadarimMegurim1,KamaGinaPratit1,KamaKarkaLoChaklait1,KamaKivun1,KamaMirpeset1,KamaSherutim1,KarkaAcheret1,KarkaChaklait1,KarkaLoChaklait1,KesefHutzAcher1,KesefHutzD1,KesefHutzDinarY1,KesefHutzE1,KesefHutzL1,KibelMechirDiraN1,Kivun1,KniyaAtiditDira1,M_ChodashimCheshbonChasum1,M_ChodashimMinus1,M_PeamimPniyaBank1,Maaliyot1,MachsanBetochD1,MachsanMiD1,MatbeaAlutBniya1,MatbeaBniya1,MatbeaChisachon1,MatbeaHutz1,MatbeaKnuya1,MatbeaLoNeemanut1,MatbeaNeemanut1,MatbeaPikdon1,MazavKAtid1,MazavKAvar1,MechirBniya1,MechirKnuya1,MechiraDiraNKama1,MechiraDiraNosefet1,MekorSetach1,MenayotMB1,Minus1,MirpesetChitzonit1,MirpesetSherut1,MispDirotBinyan1,MispKomotBinyan1,Mocher1,MspDirotBeKomatMegurim1,NofAntena1,NofGag1,NofKvish1,NofKvishPnimi1,NofRakevet1,NofSetachPatuch1,NofSetachYarok1,NofYam1,OfenBaalut1,OfenBaalutMigrash1,PikdonotMB1,PniyaBank1,SchumHalvaaLoDiyur1,SetachBayitpratY1,SetachDira1,Sfarim1,ShanaBniya1,ShanaRechishaB1,ShanaRechishaK1,ShiirochChisachonChodesh1,ShiirochChisachonShana1,ShiirochChisachonYom1,ShiirochLoNeemanutChodesh1,ShiirochLoNeemanutShana1,ShiirochLoNeemanutYom1,ShiirochNeemanutChodesh1,ShiirochNeemanutShana1,ShiirochNeemanutYom1,ShiirochPikdonChodesh1,ShiirochPikdonShana1,ShiirochPikdonYom1,ShuviDirotLoMegurim1,SinuyimPnimiimBDira1,SugCheshbon1,SugDira1,TChisachonMB1,TaarichRechishaB1,TaarichRechishaK1,YitraNEAgachMemshaltiBAhuz1,YitraNEAgachMemshaltiBSchum1,YitraNEMenayotBAhuz1,YitraNEMenayotBSchum1,m_KesefMB1,m_SchumHalvaaDiyur1,GodelKarkaLoChaklait,MdidaKarkaLoChaklait,KarkaChaklaitSetach,MdidaKarkaChaklait,sumHMosdotShnatitnew,SacShnatikolel_Lembnew
,2,1,2,2013,667.7107425,2,,1,,2,0,0,0,0,0,0,33600,0,0,0,0,2,2,2,,,1,,,1,2500000,,,2,2,99999998,1,,2,2,1,,,2,,,,2,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,4,3,2,,2,2,2,,2,,,,,,,3,,,,1400000,,2,2,2,4,4,,,3,,1,2,2,2,,,,,,,1,2,,,,0,2,2,,,,2,,,,1,3,4,,99999998,,2,4,2,2,2,1,2,4,2,2,1,1,2,1,2,2,2,2,1,,1,,,,90,5,4,,1971,,,,,,,,,,1,2014,27,,1,1,4,2,,99999998,,,,,5,,,,,,28188,79788
,4,1,2,2013,562.7166597,2,,2,,,0,0,0,0,0,0,0,0,0,0,0,1,1,,1,,2,13500,,1,,,,2,2,,,,,,,,,,2,1,1,,,2,2,2,2,1,2,2,2,2,2,2,2,,2,,4,4,2,2,,2,2,,,,,,,,,3,,,,,,2,2,2,2,2,,,1,1,1,2,2,2,,,,,,,99999998,2,,,,2,2,2,,,,2,,,,,3,3,,,,2,,2,,1,2,99999998,3,,99999998,2,2,2,1,2,1,2,2,,,2,,,,99999998,6,6,,,,,,,,,,,,,,,,,4,4,2,,,,,,,1,,,,,,26460.5,26460.5
,6,1,2,2013,445.432826,1,1,2,3,,0,0,0,0,0,540000,40000,0,0,0,0,2,2,1,1,,2,14000,,1,,,,2,2,0,1,,2,2,2,,,,,2,,,,2,2,2,2,2,2,2,2,2,2,2,2,,1,,4,3,2,2,,1,2,,,,,,,,,3,500000,,,2300000,,2,2,2,3,3,,,2,4,2,2,2,2,,,,3,3,,7,2,,,,4,2,1,,,1,1,,,,1,3,3,,,,2,2,2,2,1,2,5,15,,8,1,1,1,2,2,2,1,1,,,1,,,,89,3,8,,,1,2014,26,,,,,,,1,2014,26,,,1,4,1,,,,,,,5,,,,,,47616,627616
,7,1,2,2013,575.7636243,1,1,2,1,,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,,1,,,3,1500000,,,2,2,20000,1,,2,1,1,,,2,,,,2,,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,4,4,2,,2,2,2,,2,,,,,,,1,,,,,,2,2,2,3,2,,,2,1,2,2,2,2,,,,,,,5,2,,,,1,2,1,,,,2,2,,,,3,3,,120000,,2,3,2,2,1,1,2,4,2,2,2,2,2,1,2,1,2,2,1,,2,,,,72,2,7,,1996,,,,,,,,,,,,,,2,1,4,2,,7,,,,,2,,,,,,48431.25,48431.25
,8,1,2,2013,575.7636243,2,,2,,,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,,1,,,1,99999998,,,2,2,99999998,1,,2,2,1,,,2,2,,,1,1,2,1,1,1,1,2,2,2,2,1,99999998,2,2,2,,3,3,2,,2,2,2,,2,,,,,,,3,99999998,,,,,2,2,2,4,4,,,4,1,3,2,2,2,,,,,,,7,2,,,,0,2,2,,,,99999999,0,,,,99999998,3,,99999998,,2,3,2,2,1,1,2,4,1,1,1,1,2,1,2,2,2,2,1,,2,,,,88,5,5,,1976,0,,,,,,,,,,,,,1,1,4,1,,3,,,,,99999998,,,,,,51192,62452.28571
,10,1,2,2013,277.5865345,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,,1,,400,2,99999998,,,2,2,20000,1,,2,2,2,,,2,,,,2,,2,1,2,2,1,1,2,2,2,1,99999998,2,2,2,2,4,3,2,,2,2,,,1,,,,,,,3,4000,24000,,,,2,2,1,4,3,,,4,1,2,2,2,2,,1,,,,,8,2,,12,,0,2,1,,,1,1,7,1,,,3,3,,22500,,2,4,1,1,1,2,,,2,,2,1,2,2,2,2,2,2,1,,2,2,,2,120,3,3,,1961,12,2013,3,0,,99999998,,,,,,,,1,1,8,1,,6,0,,100,,3,,,,,,53626,110026
,11,1,2,2013,592.5333153,2,,2,,,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,,6,,,2,,,,2,2,,,,,,,,,,,2,,,,2,2,2,2,1,1,2,2,2,2,2,2,,2,,4,3,2,2,,2,1,10,,,,,,,,3,,,,,,2,2,2,4,1,1,,3,1,2,2,2,2,,,,,,,1,2,,,,0,2,1,,,,2,,,,,3,3,,,,2,4,2,,1,1,1,1,,2,1,1,2,1,2,1,1,2,,,2,,,,90,4,6,,,,,,,,,,,,,,,,,4,4,2,,,,,,,1,,,,,,61491.75,61491.75
,13,1,2,2013,565.032516,2,,2,,,0,0,0,0,0,0,0,0,0,0,0,2,2,2,,,2,99999998,,2,,,,2,2,,,,,,,,,,,2,,,,2,2,2,2,1,2,2,2,2,2,1,2,,2,,4,5,2,2,,2,2,,,,,,,,,3,,,,,,2,2,2,3,3,,,2,,1,2,2,2,,,,,,,1,2,,,,0,2,2,,,,2,,,,,5,5,,,,2,2,2,,2,2,2,5,,2,2,1,1,2,2,2,2,2,,,2,,,,48,6,99999998,,,,,,,,,,,,,,,,,4,4,2,,,,,,,99999998,,,,,,45726.5,45726.5
,15,1,2,2013,934.5698733,2,,1,,1,0,0,0,0,0,0,0,0,0,0,0,2,1,,1,1,2,3700,,1,,,,2,2,99999998,1,,2,2,1,,,,,2,,,,2,2,2,2,2,2,2,2,2,2,2,1,,2,2,4,3,2,2,,2,2,,,,,,,,,3,,,,,,2,2,2,3,3,,,99999998,1,2,2,2,2,,,,,,,99999998,2,,12,,1,2,1,,,,99999999,,,,,3,3,,,,2,,2,1,1,1,2,3,,2,99999998,2,2,1,2,2,2,2,,,2,99999998,,,99999998,3,99999998,,,,,,,,,,,,,,,,,1,4,2,,,,,,,99999999,,,,,,1863.666667,155503.6667
,17,1,2,2013,481.9796304,2,,1,,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,,1,,,2,1250000,,,2,2,99999998,1,,2,2,1,,,2,,,,2,,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,4,3,2,,2,2,1,99999998,1,,,,,,,3,,,,,,2,2,1,3,3,1,,3,1,1,2,2,2,,,,,,,4,2,,,,0,2,2,,,,2,7,,,,99999998,4,,18000,,2,3,2,2,1,2,1,2,1,2,2,2,1,2,2,2,2,2,1,,2,,,,57,2,2,,1962,,,,,,,,,,,,,,1,1,2,2,,8,,,,,3,,,,,,21299,21299
