Siduri,wave,s_seker,MishkalPrat,MishkalOrech,MisparPrat,NifkadGalKodem,k_ShnatAliya,yachas1,MatzavBriut,BeayaBriut,BeayaMafria,KoshiHalicha,KoshiLevush,KoshiLehitrachetz,KoshiMB,KoshiZikaron,KoshiReia,KoshiShmia,dat,MaonGanYesodi,Limudim,MaonGan,BateySeferLamad,BSYsh,Kita,TeudaGvoha,TeudaEretz,KriaHanaa,IvritDibur,IvritKria,IvritKtiva,SafaNosefetIvrit,SafaNosefetAravit,SafaNosefetAnglit,SafaNosefetRusit,SafaNosefetZarfatit,SafaNosefetSfaradit,SafaNosefetIdish,SafaNosefetAcheret,SafaNosefetLoYodea,K_Gova,K_Mishkal,K_ShnLimKlali,M_eretz,M_eretzav,M_eretzem,SemelAnaf1,SemelMishlach1,SemelAnafY1,SemelMishlachY1,c_SachLemaase,ShaotBdk,MikumAvoda1,MikumAvodaY1,KamaAvadK,TchunatAvodaShvuit,TchunatAvodaBederechKlal,TchunatAvodaShnatit,PaamAchronaChashavAni,Shana,hatavotLoBBruto,KamaAvadN2,KamaAvadNY1,Avad12Hodashim1,K_SafaIkarit,K_SfatEm,K_sug_mosad,K_SemelMiktzLim1,K_SemelMiktzLim2,AchAcherZ1,AchnHartzaa1,AchnMeshekBayit1,AchnShiurPrati1,AchnSmartafut1,AvadShana1,Bituach1,ChipesChodesh1,ChipesShana1,HashavAni1,HavraaKalul1,HishtatfutKalul1,IkaritPachot351,KamaAvadY1,MaanakKalul1,MamadAvoda1,MamadAvoday1,MatanaKalul1,Mazav1,MekabelSachar1,MekabelSacharY1,MekomotAvoda1,Min1,MisparAv1,MisparEm1,misparhodashimachacher1,misparhodashimbituah1,misparhodashimhartzaa1,misparhodashimmeshekbayit1,misparhodashimshiurprati1,misparhodashimsmartafut1,MisparMeshivP1,MisraMelea1,MisraMeleaY1,Ofen_Mehush1,Oved351,Oved35Y1,pidyonkalul1,pitzuyimkalul1,rechevkalul1,schumachacherz1,schumachnhartzaa1,schumachnshiurprati1,schummeshekbayit1,schumsmartafut1,ShaotAvodaY1,SibaIkarit12Chod1,SibaLoZamin1,tashlumacherkalul1,Tlush1,Yamim1,YamimY1,Zminut1,BrutoSachirnew,BrutoAzmaiShnatinew,schumbituach1,achnbruavodkodem1,SacShnati_LePratnew,gilm
2,2,2013,677.7897086,815.615542,1,1,,1,2,99999998,,,,,,1,1,1,1,,1,,1,,,2,,4,1,1,1,0,0,1,0,0,0,0,0,0,7,8,4,1,1,1,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,1,,,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,5,,,,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,99999999,99999999,0,,,,2,0,0,0,0,0,49
2,2,2013,727.2001424,1300.239452,2,1,,6,3,1,1,3,1,1,1,1,1,1,1,,1,,1,,,7,,2,1,2,3,0,1,0,0,0,0,0,1,0,4,6,2,1,3,3,H,8,,,998,998,1,,0,6,0,2,,2013,0,12,12,12,1,1,,,,0,0,0,0,0,,2,,,4,0,0,,,0,2,,0,4,,,1,1,,,0,0,0,0,0,0,,,,1,2,,0,0,0,0,0,0,0,0,,,,0,,9,,,0,18000,0,0,18000,80
4,2,2013,574.1023495,377.0165766,1,1,,1,2,1,3,2,2,3,3,1,2,2,1,,1,,1,,,7,,2,1,1,1,0,1,0,0,0,0,0,0,0,99999998,99999998,2,1,1,1,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,1,,,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,4,,,,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,80
6,2,2013,499.0766414,670.2446812,1,1,1,1,3,1,3,2,1,1,1,2,1,2,1,,1,,1,,,2,,2,1,1,1,0,1,1,0,0,0,0,0,0,5,8,4,2,,,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,1,,,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,1,,,,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,80
6,2,2013,482.927562,644.7385677,2,1,,2,2,1,3,2,1,1,1,1,2,2,1,,1,,1,,,3,,2,1,1,1,0,0,1,0,0,0,0,0,0,2,8,5,1,2,2,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,1,,,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,1,,,,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,80
7,2,2013,587.413299,834.4021386,1,1,,1,3,1,1,2,2,1,2,2,1,1,1,,1,,1,,,7,,4,2,2,2,1,1,1,0,1,0,0,0,0,4,9,3,1,2,2,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,10,,,,0,0,0,0,0,2,0,2,2,3,0,0,,,0,,,0,1,,,,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,80
7,2,2013,627.0610354,715.5597105,2,1,2,2,4,1,1,2,1,1,1,2,2,3,1,,3,,,,,,,2,2,2,2,1,0,0,0,0,0,0,0,0,7,6,1,2,,,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,13,,,,0,0,0,0,0,2,0,2,2,1,0,0,,,0,,,0,1,,,,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,80
8,2,2013,627.0610354,679.5809516,1,1,2,1,1,2,,,,,,1,1,2,1,,1,,1,,,1,,2,1,1,2,1,0,0,0,0,0,0,0,0,5,9,4,2,,,N,4,,,998,998,1,,0,6,0,2,,,0,12,12,12,1,8,,,,0,0,0,0,0,,2,,,3,0,0,,,0,1,,0,1,1,,1,1,,,0,0,0,0,0,0,,2,,,2,,0,0,0,0,0,0,0,0,,,,0,,9,,,219.5,0,0,0,2634,74
8,2,2013,587.413299,0,2,0,,2,3,1,2,1,1,1,1,2,2,2,1,,1,,1,,,1,,3,1,1,1,0,0,0,0,0,0,1,0,0,4,2,4,1,2,2,P,4,,,998,998,1,,0,6,0,2,,,0,12,12,12,1,1,,,,0,0,0,0,0,,2,,,4,0,0,,,0,1,,0,1,1,,1,2,,,0,0,0,0,0,0,,2,,,2,,0,0,0,0,0,0,0,0,,,,0,,9,,,718.8571429,0,0,0,8626.285714,71
10,2,2013,300.9526478,1415.017371,1,1,,1,2,1,2,1,1,1,1,2,2,1,1,,1,,1,,,7,,3,1,1,1,0,0,1,0,0,0,0,0,0,4,10,4,1,4,3,Q,3,,,998,998,3,,0,6,0,2,,,0,12,12,12,1,1,,,,1,2,2,2,2,,2,,,1,0,0,,,0,1,,0,1,1,,1,2,,,12,0,0,0,0,0,,2,,,2,,0,0,0,3500,0,0,0,0,,,,0,2,9,,,1200,0,0,0,56400,77
10,2,2013,311.0164929,523.4934405,2,1,,2,2,1,4,,,,,2,1,1,1,,1,,1,,,7,,3,1,1,1,1,0,0,0,0,0,1,0,0,5,9,3,1,2,2,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,13,,,,0,0,0,0,0,2,0,2,2,3,0,0,,,0,,,0,1,,,,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,78
11,2,2013,862.8133084,1515.488883,1,1,,1,2,1,2,2,1,1,1,2,1,1,1,,1,,1,,,3,,4,1,1,1,0,1,1,0,0,0,1,0,0,2,7,5,1,1,1,O,4,,,20,20,1,,0,2,3,1,,,0,12,12,12,1,1,,,,0,0,0,0,0,,0,,,4,0,0,,,0,5,,0,1,,,1,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,0,,5,,,0,0,0,0,0,80
11,2,2013,823.8705381,863.5221453,2,1,,2,1,2,,,,,,1,1,1,1,,1,,1,,,3,,4,1,1,1,0,0,1,0,0,0,0,0,0,4,2,5,1,2,2,C,7,,,20,20,1,,0,2,3,1,,,0,12,12,12,1,1,,,,0,0,0,0,0,,0,,,4,0,0,,,0,5,,0,1,,,1,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,0,,5,,,0,0,0,0,0,80
13,2,2013,652.648164,414.1248345,1,1,,1,4,1,1,3,1,1,2,2,2,2,1,,1,,1,,,7,,2,1,1,1,1,1,1,0,0,0,0,0,0,6,5,3,1,1,2,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,10,,,,0,0,0,0,0,2,0,2,2,4,0,0,,,0,,,0,3,,,,1,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,3,5,0,,,,2,0,0,0,0,0,76
15,2,2013,1225.231912,2241.649475,1,1,,1,1,2,,,,,,1,1,1,1,,1,,1,,,1,,2,1,1,1,0,0,1,0,0,0,0,0,0,4,4,5,1,1,1,M,4,,,40,40,2,,0,1,1,1,,,0,12,12,12,1,1,,,,0,0,0,0,0,,2,,,4,0,0,,,0,1,,0,5,1,,1,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,0,,5,,,12803.33333,0,0,0,153640,46
15,2,2013,947.2550664,1225.498933,2,1,,3,1,,,,,,,1,1,1,1,2,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,,,,,0,0,,,0,,0,,,,0,,0,0,1,1,,,,0,0,0,0,0,,0,,,,0,0,,,0,,,0,,,,,2,,1,0,0,0,0,0,0,1,,,,,,0,0,0,0,0,0,0,0,,,,0,,,,,0,0,0,0,0,5
17,2,2013,522.5507288,624.9919694,1,1,,1,4,1,1,3,2,2,2,2,2,1,1,,1,,1,,,7,,4,1,1,1,1,0,0,0,0,0,0,0,1,5,8,2,1,3,3,,,,,0,0,,,0,6,0,5,,,0,,0,0,1,1,,,,0,0,0,0,0,2,0,2,2,1,0,0,,,0,,,0,1,,,,2,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,2,2,0,,,,2,0,0,0,0,0,78
