SiduriMakorPitzul,MbNifkadGalKodem,Siduri,wave,s_seker,MishkalMb,sumHPensiaShnatit,sumHHishShnatit,sumHGemelShnatit,sumHMilgaShnatit,sumHHulShnatit,sumHAnashimShnatit,HRibitShnatit,HHashkaotShnatit,HDividendShnatit,HSchirutShnatit,HEsekShnatit,SachNefashot,Nefashot0_17,Nefashot18up,Men18up,Women18up,m_SetachMigrashBayitprati,ShuviDira,ShanaRechishaK1,ChodeshRechishaK1,ChodeshRechishaB1,m_DmeSchirutChodeshi,MatbeaKnuya1,MatbeaBniya1,MatbeaAlutBniya1,AimMekura1,AlutBniya1,BaayaBiluy1,BaayaChinuch1,BaayaChoshech1,BaayaHaznacha1,BaayaKvish1,BaayaMatos1,BaayaMifal1,BaayaRakevet1,BaayaRech1,BaayaZevel1,BaayaZihum1,ChanayaPratit1,ChederAronot1,ChisachonAtid1,ChisachonHayom1,DiraMedurag1,GinaPratit1,GodelGinaPratit1,HagdalatDira1,HasakaPratit1,K_MispHadarim1,K_MispHadarimMegurim1,KamaGinaPratit1,KamaKivun1,KamaMirpeset1,KamaSherutim1,Kivun1,Maaliyot1,MachsanBetochD1,MachsanMiD1,MazavKAtid1,MazavKAvar1,MechirBniya1,MechirKnuya1,MekorSetach1,MirpesetChitzonit1,MirpesetSherut1,MispDirotBinyan1,MispKomotBinyan1,Mocher1,MspDirotBeKomatMegurim1,NofAntena1,NofGag1,NofKvish1,NofKvishPnimi1,NofRakevet1,NofSetachPatuch1,NofSetachYarok1,NofYam1,OfenBaalut1,OfenBaalutMigrash1,SetachBayitpratY1,SetachDira1,Sfarim1,ShanaBniya1,ShanaRechishaB1,SinuyimPnimiimBDira1,SugDira1,k_baalut1,k_MispMeconiyot1,k_mizug1,k_ShaotOzeret1,Meconit1,Ozeret1,ShuviDiraYoter1,SinuyDira21,SinuyDiraP21,TahasokaAcheretOzeret1,TahasokaOzeretMesh1,TahasokaOzeretSiu1,TahasokaOzeretYeLed1,sumHMosdotShnatitnew,SacShnatikolel_Lembnew
,1,2,3,2015,747.3004199,0,0,0,0,0,0,26400,0,0,13200,0,2,0,2,2,0,,,1971,99999998,,,,,,,,,,,,,,,,,,,2,2,3,3,2,2,,,3,4,4,,,,1,,0,2,2,3,3,,99999998,4,2,1,2,4,2,2,,,,,,,,,1,,,90,5,4,,,4,1,2,1,,1,2,3,2,2,,,,,29112,68712
,2,3,3,2015,710.8821566,0,0,0,0,0,0,0,0,0,62400,0,2,0,2,1,1,,99999998,,,99999998,,,,,,99999998,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,,,2,1,3,3,,3,1,2,4,0,2,1,3,3,99999998,,3,1,1,2,3,,2,1,1,1,1,1,1,2,2,2,1,,60,4,5,1977,2,4,1,1,3,,1,2,,,,,,,,27476,305876
,1,4,3,2015,925.9216166,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,,,,,,99999998,,,,,,,,,,,,,,,,,,2,4,4,2,2,,,3,2,2,,,1,1,,2,2,2,99999998,3,,,,1,2,99999998,3,,99999998,,,,,,,,,,,,99999998,6,,,,4,2,,1,,2,2,,,,,,,,26404,26404
,1,6,3,2015,572.1675497,0,0,0,0,0,540000,0,0,0,0,0,2,0,2,1,1,,,,,,16000,,,,,,,,,,,,,,,,,,1,4,3,2,2,,,3,3,3,,,4,2,,4,2,1,3,3,,,2,1,2,5,15,,8,,,,,,,,,,,,89,5,,,,4,2,,1,3,2,1,,,,2,1,2,2,48441,588441
,1,7,3,2015,710.8821566,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,,,1996,7,,,2,,,,,,,,,,,,,,,,2,2,3,4,2,2,,,1,3,2,,,1,2,,1,2,1,3,3,,120000,3,1,1,2,4,2,2,,,,,,,,,1,,,72,3,7,,,4,1,,3,,2,2,,2,2,,,,,52706,52706
,1,8,3,2015,710.8821566,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,,99999998,1976,3,,,0,,,,,,,,,,,,,,,,2,2,3,3,2,2,,,3,4,4,,,1,3,,0,2,2,3,3,,99999998,3,1,1,2,4,1,1,,,,,,,,,1,,,88,5,5,,,4,1,,1,1,2,1,,2,2,2,1,2,2,41315.5,47061.5
,2,9,3,2015,1522.225116,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,,,,,,3200,,,,2,,2,1,2,2,2,1,2,2,2,2,1,1,2,4,2,2,,,,3,3,2,,4,,1,4,0,2,2,3,4,,,4,2,1,1,2,,2,99999998,2,2,1,2,2,2,2,,,,75,4,3,,,4,2,2,2,,1,2,,,,,,,,0,291200
,1,10,3,2015,433.3098733,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,400,4000000,1961,6,,,7,,,,,,,,,,,,,,,,2,2,2,2,2,,,,3,4,3,,,1,2,,0,2,1,3,3,,22500,4,1,2,,,2,,,,,,,,,,1,,,120,4,3,,,8,1,1,2,1,1,1,,2,2,2,1,2,2,55784,55784
,1,11,3,2015,552.7362133,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,1,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,,2,2,,,,,,,,61274.41667,61274.41667
,2,12,3,2015,497.1942888,120000,0,0,0,0,0,200,200,0,30000,0,1,0,1,0,1,,1500000,2001,7,,,,,,1,,2,1,2,2,1,1,2,2,2,1,1,1,2,2,4,2,,,2,3,4,4,,3,1,2,2,2,2,2,3,3,,99999998,1,1,1,4,8,2,4,1,1,1,1,2,2,1,2,1,,,70,3,8,,2,4,1,1,1,1,1,1,,,,2,1,2,2,40928.5,191328.5
,2,16,3,2015,710.8821566,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,,99999998,1960,99999998,,,,,,,,2,2,2,1,2,2,2,2,2,1,2,2,2,4,3,2,,,2,3,3,2,,3,1,1,99999998,0,2,2,3,3,,99999998,,1,1,2,4,2,1,2,1,2,2,2,2,2,2,1,,,99999998,3,3,,1,4,1,,2,4,2,1,,,,2,1,1,2,14544.5,14544.5
