Siduri,SiduriMakorPitzul,wave,s_seker,MishkalMb,MbNifkadGalKodem,HDividendShnatit,HEsekShnatit,HHashkaotShnatit,HRibitShnatit,HSchirutShnatit,sumHAnashimShnatit,sumHGemelShnatit,sumHHishShnatit,sumHHulShnatit,sumHMilgaShnatit,sumHPensiaShnatit,sumHMosdotShnatitnew,SacShnatikolel_Lembnew,SachNefashot,Nefashot0_17,Nefashot18up,Men18up,Women18up,GodelKarkaLoChaklait,HaskaChisachon1,HaskaLoNeemanut1,HaskaNeemanut1,HaskaPikdon1,KarkaChaklaitSetach,m_HalvaaDiyur,m_HalvaaLoDiyur,m_MisgeretAshrai,m_SetachMigrashBayitprati,M_ShuviDira,m_YeshAshrai,SchumHalvaaLoDiyur1,YitraNEAgachMemshaltiBAhuz1,YitraNEAgachMemshaltiBSchum1,YitraNEMenayotBAhuz1,YitraNEMenayotBSchum1,ShanaRechishaK1,ChodeshRechishaK1,ChodeshRechishaB1,m_DmeSchirutChodeshi,MatbeaKnuya1,MatbeaBniya1,MatbeaAlutBniya1,ADechiyaMoedTashlum1,AKredit1,APrisatTushlum1,AimMekura1,AlutBniya1,AtidMechiraDira1,AtidMechiraDiraN1,BaalutDiraLLoBealim1,BaalutDiraLLoBealimKama1,BaalutDiraNosefet1,BaalutDiraNosefetKama1,BaayaBiluy1,BaayaChinuch1,BaayaChoshech1,BaayaHaznacha1,BaayaKvish1,BaayaMatos1,BaayaMifal1,BaayaRakevet1,BaayaRech1,BaayaZevel1,BaayaZihum1,ChanayaPratit1,ChederAronot1,CheshbonChasum1,ChisachonAtid1,ChisachonHayom1,DiraMedurag1,DiraNosefet121,DiraNosefetP121,GinaPratit1,GodelGinaPratit1,HagdalatDira1,HasakaPratit1,K_MispHadarim1,K_MispHadarimMegurim1,KamaGinaPratit1,KamaKivun1,KamaMirpeset1,KamaSherutim1,KarkaAcheret1,m_MechirDiraKnuyaB12,m_KesefKniyaAtidit,KarkaChaklait1,MdidaKarkaChaklait,KarkaLoChaklait1,KamaKarkaLoChaklait1,MdidaKarkaLoChaklait,m_Mechirkarka,KibelMechirDiraN1,Kivun1,KniyaAtiditDira1,Maaliyot1,MachsanBetochD1,MachsanMiD1,MazavKAtid1,MazavKAvar1,MechirBniya1,MechirKnuya1,MechiraDiraNKama1,MechiraDiraNosefet1,MekorSetach1,MirpesetChitzonit1,MirpesetSherut1,MispDirotBinyan1,MispKomotBinyan1,Mocher1,MspDirotBeKomatMegurim1,NofAntena1,NofGag1,NofKvish1,NofKvishPnimi1,NofRakevet1,NofSetachPatuch1,NofSetachYarok1,NofYam1,OfenBaalut1,OfenBaalutMigrash1,SetachBayitpratY1,SetachDira1,Sfarim1,ShanaBniya1,ShanaRechishaB1,SinuyimPnimiimBDira1,SugCheshbon1,SugDira1,k_baalut1,k_MispMeconiyot1,k_mizug1,k_ShaotOzeret1,Meconit1,Ozeret1,ShuviDiraYoter1,SinuyDira21,SinuyDiraP21,TahasokaAcheretOzeret1,TahasokaOzeretMesh1,TahasokaOzeretSiu1,TahasokaOzeretYeLed1,BituachMenahalimMb1,GemelVPizuyimMB1,kHishMB1,kNeemanutMB1,kPensiaMB1,M_ChodashimCheshbonChasum1,M_ChodashimMinus1,M_PeamimPniyaBank1,PikdonotMB1,PniyaBank1,TChisachonMB1,m_KesefMB1,m_SchumHalvaaDiyur1,ShiirochChisachonChodesh1,ShiirochChisachonShana1,ShiirochChisachonYom1,ShiirochLoNeemanutChodesh1,ShiirochLoNeemanutShana1,ShiirochLoNeemanutYom1,ShiirochNeemanutChodesh1,ShiirochNeemanutShana1,ShiirochNeemanutYom1,ShiirochPikdonChodesh1,ShiirochPikdonShana1,ShiirochPikdonYom1,ShuviDirotLoMegurim1,HalvaaLoDiyurAcher1,HalvaaLoDiyurAshrai1,HalvaaLoDiyurAvoda1,HalvaaLoDiyurBank1,HalvaaLoDiyurBituach1,HalvaaLoDiyurLising1,HeviDoch1,KesefHutzAcher1,KesefHutzD1,KesefHutzDinarY1,KesefHutzE1,KesefHutzL1,MatbeaChisachon1,MatbeaHutz1,MatbeaLoNeemanut1,MatbeaNeemanut1,MatbeaPikdon1,MenayotMB1,Minus1
2,,4,2016,770.1463601,1,0,0,0,31200,13800,0,0,0,0,0,0,29112,74112,2,0,2,2,0,,,,,,,2,2,10000,,3200000,1,,,,,,1971,99999998,,,,,,2,1,1,,,2,,2,,,,,,,,,,,,,,,2,2,,4,3,2,,2,2,,,3,4,4,,,,1,2,,,2,,2,,,,,,2,0,2,2,3,3,,99999998,,2,4,2,1,2,4,2,2,,,,,,,,,1,,,90,5,4,,,1,4,1,2,1,,1,2,,2,2,,,,,2,2,2,2,2,,,,2,,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2
3,,4,2016,839.1635356,1,0,0,0,0,62400,0,0,0,0,0,30000,17226,193276,2,0,2,1,1,,,,,,,2,2,12000,,2200000,1,,,,,,,,99999998,,,,,2,2,2,,99999998,2,2,1,1,,,,,,,,,,,,,,2,2,,2,1,2,,2,,,,1,3,3,,,1,2,2,,,2,,2,,,,,,99999998,0,2,1,1,3,99999998,,,2,3,1,1,2,3,,2,,,,,,,,,2,1,,60,5,5,1977,,2,4,1,1,3,,1,2,,2,2,,,,,2,1,2,2,2,,,,2,,2,5,0,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,,,,99999998,2
4,,4,2016,782.7084335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,,,,,,,2,2,0,,,0,,,,,,,,,99999998,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,2,,4,5,2,2,,2,,,3,2,2,,,1,1,2,,,2,,2,,,,,,2,2,2,2,3,3,,,,2,,1,2,99999998,3,,99999998,,,,,,,,,,,,99999998,6,,,,4,4,2,,1,4,2,1,,,,2,1,1,2,2,2,2,2,2,,,,2,,2,99999998,0,,,,,,,,,,,,,99999998,,,,,,,,,,,,,,2,,,,2,
6,,4,2016,631.4162691,1,0,0,0,0,0,0,0,0,0,0,0,48516,48516,2,0,2,1,1,,,,,400000,,2,2,10000,,,1,,,,,,,,,15000,,,,2,2,2,,,,,2,,,,,,,,,,,,,,,,1,,4,3,2,2,,2,,,3,3,3,,,4,2,2,,,2,,2,,,,,,2,4,2,1,3,3,,,,2,2,1,2,5,15,,8,,,,,,,,,,,,89,5,,,,1,4,2,,1,3,2,1,,,,2,1,2,2,2,2,2,2,2,,,,1,,2,5,0,,,,,,,,,,6,2016,1,,,,,,,,,,4,,,,,1,,,1,2,2
7,,4,2016,839.1635356,1,0,0,0,0,0,0,0,0,0,0,0,52788,52788,2,0,2,1,1,,300000,,,,,2,2,20000,,1700000,1,,,,,,1996,7,,,2,,,1,1,1,,,2,,2,,,,,,,,,,,,,,,2,2,,4,3,2,,2,2,,,1,3,2,,,1,2,2,,,2,,2,,,,,,2,1,2,1,3,3,,120000,,2,3,1,1,2,4,2,2,,,,,,,,,1,,,72,2,7,,,1,4,1,,3,2,2,1,,2,2,2,1,2,2,2,2,2,2,2,,,,2,,1,1,0,5,2016,17,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,2,2
9,,4,2016,1792.057633,1,0,0,0,0,0,1000,0,0,0,0,0,10328.83333,289616.3333,3,1,2,1,1,,,300000,100000,,,2,2,30000,,,1,,0,,60,,,,,3300,,,,2,2,1,2,,,2,1,1,,,,,,,,,,,,,,1,2,,4,3,2,1,,,,,3,3,2,,,,1,2,1360000,,2,,2,,,,,,2,0,2,2,3,4,,,,2,4,2,1,1,2,,2,,,,,,,,,,,,75,3,,,,1,4,2,2,2,4,1,1,,,,2,2,2,1,1,1,1,1,1,,,,2,,2,3,0,,,,6,2016,28,6,2016,28,,,,1510000,,,,,,,,,,,,,,2,1,1,,1,2
10,,4,2016,424.902057,1,0,0,0,0,0,0,0,0,0,0,0,56810.25,80810.25,2,0,2,1,1,,9000,,,,,2,2,20000,400,3000000,1,,,,,,1961,6,,,7,,,2,2,1,,,2,,,,2,,,,,,,,,,,,,2,2,2,2,2,2,,2,,,,3,4,3,,,1,2,2,,,2,,2,,,,,,2,0,2,1,3,3,,22500,,2,4,1,2,,,2,,,,,,,,,,1,,,120,3,3,,,1,8,1,1,2,1,1,1,4,2,2,2,1,2,2,2,2,2,2,1,,1,,2,2,1,2,0,12,2015,31,,,,,,,,,,,,,,,,,,,2,,,,1,1,,,,2,1
11,,4,2016,559.9465432,1,0,0,0,0,0,0,0,0,0,0,0,45444.66667,45444.66667,2,0,2,1,1,,,,,,,2,2,0,,99999998,1,,,,,,,,,,,,,2,2,1,,,,,2,,,,,,,,,,,,,,,2,2,,2,2,2,2,,1,99999998,,3,4,4,1,,2,2,2,,,2,,2,,,,,,2,0,2,1,3,3,,,,2,4,1,2,,,,,,,,,,,,,,,,120,5,,,,1,6,6,,2,1,2,1,,,,2,1,2,2,99999998,99999998,1,2,1,,,,99999998,,99999998,99999998,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2
12,,4,2016,685.9184394,1,0,0,0,0,36000,0,0,0,0,0,84000,42708,162708,1,0,1,0,1,,99999998,,,,,2,2,20000,,1500000,1,,,,,,2001,7,,,,,,2,1,1,1,,2,99999998,,,1,1,,,,,,,,,,,,1,2,,2,2,2,,2,,,,3,4,4,,,1,2,2,,,2,,2,,,,,,2,2,2,2,3,3,,99999998,,2,1,1,1,4,8,2,4,,,,,,,,,1,,,70,4,8,,,1,4,1,1,1,,1,2,,2,2,,,,,2,2,2,2,1,,,,2,,1,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2
13,,4,2016,660.7951187,2,0,0,0,0,0,0,0,0,0,0,0,24021,48021,2,0,2,1,1,,,,,,,2,2,0,,,2,,,,,,,,,300,,,,,,,,,,,2,,,,2,2,1,2,1,2,2,2,2,2,99999998,2,2,,4,3,2,2,,,,,3,3,3,,2,,1,2,,,2,,2,,,,,5,2,0,2,2,99999998,5,,,,2,2,2,2,3,3,,2,99999998,1,1,1,2,2,2,2,,,,56,2,4,,,1,4,2,,2,,2,2,,,,,,,,2,2,2,2,2,,,,2,,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2
