Siduri,wave,s_seker,MisparPrat,MishkalPrat,MishkalOrech,Leom,YachasKirvaKalkali,SemelAnaf1,SemelAnafY1,SemelMishlach1,SemelMishlachY1,ShaotBdk,TchunatAvodaBederechKlal,TchunatAvodaShnatit,TchunatAvodaShvuit,Yachas1,Min1,gil1,Mazav1,MisparMeshivP1,Zminut1,SibaLoZamin1,ChipesChodesh1,MekomotAvoda1,MamadAvoda1,MekabelSachar1,Yamim1,C_SachLemaase1,Oved351,MisraMelea1,IkaritPachot351,MikumAvoda11,AvadShana1,MamadAvoday1,MekabelSacharY1,YamimY1,ShaotAvodaY1,Oved35Y1,MisraMeleaY1,MikumAvodaY11,KamaAvadK1,SibaIkarit12Chod1,ChipesShana1,K_SemelMiktzLim1,K_SemelMiktzLim2,K_ShnatAliya,K_ShnLimKlali,M_eretz,M_eretzav,M_eretzem,MisparAchrai,SafaNosefetAcheret,SafaNosefetAnglit,SafaNosefetAravit,SafaNosefetIdish,SafaNosefetIvrit,SafaNosefetLoYodea,SafaNosefetRusit,SafaNosefetSfaradit,SafaNosefetZarfatit,dat,DatAteist,DatiutLoYehudi,datiutyehudi,MatzavBriut,BeayaBriut,BeayaMafria,KoshiHalicha,KoshiLevush,KoshiLehitrachetz,KoshiMB,KoshiZikaron,KoshiReia,KoshiShmia,MaonGanYesodi,Limudim,MaonGan,BateySeferLamad,BSYsh,Kita,TeudaGvoha,TeudaEretz,MiktzLim1MadaeiHevra,MiktzLim1Asakim,MiktzLim2MadaeiHevra,MiktzLim2Asakim,KriaHanaa,IvritDibur,IvritKria,IvritKtiva,misparav,misparem,K_Gova,K_Mishkal,K_SafaIkarit,K_SfatEm,K_sug_mosad,NifkadGalKodemH,Avad12Hodashim,ShanaAzmai,BrutoSachir,kamaAvadNY1,brutoazmaishnati1,schumbituach1,achnbruavodkodem1,schumsmartafut1,schummeshekbayit1,schumachnshiurprati1,schumachnhartzaa1,schumachacherz1,misparhodashimsmartafut1,misparhodashimmeshekbayit1,misparhodashimshiurprati1,misparhodashimhartzaa1,misparhodashimachacher1,rechevkalul1,havraakalul1,matanakalul1,maanakkalul1,hishtatfutkalul1,tashlumacherkalul1,pitzuyimkalul1,pidyonkalul1,achnsmartafut1,achnmeshekbayit1,achnshiurprati1,achnhartzaa1,achacherz1,bituach1,misparhodashimbituah1,kamaAvadN2,hatavotLoBBruto,SacShnati_LePrat,Tlush1,Ofen_Mehush1,HashavAni1,PaamAchronaChashavAni1,KamaAvaddY1
2,4,2016,1,876.99168306,1422.511039,1,1,,,,,0,0,5,6,1,1,52,5,,,,2,,,,,0,,0,,,2,,,,,,,,0,5,2,,,,4,1,1,1,,0,1,0,0,0,0,0,0,0,1,,,3,1,2,,,,,,1,1,1,,1,,1,,,2,,,,,,4,,,,,,7,8,1,1,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,,
2,4,2016,2,876.99168306,2205.6154159,1,3,,,,,0,0,5,6,6,1,80,4,,,,2,,,,,0,,0,,,2,,,,,,,,0,8,2,,,,2,1,3,3,,1,0,1,0,0,0,0,0,0,1,,,,2,1,2,3,2,2,2,1,1,1,,1,,1,,,7,,,,,,3,,,,,,4,6,1,1,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,,
3,4,2016,1,771.50784422,,1,2,,P,,3,0,0,1,6,1,2,68,1,,,,2,,,,,0,,0,,,1,1,1,5,50,,,1,0,,2,1,3,,6,1,1,1,,0,1,0,0,0,0,0,0,0,1,,,,2,1,4,,,,,1,1,1,,1,,1,,,4,1,,,,,3,,,,,,3,3,1,1,1,1,6,,10500,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,,250,63250,2,,4,,6
3,4,2016,2,932.87045135,,1,1,M,,2,,50,1,2,1,2,1,74,1,,,,,1,2,,5,56,,0,,,,,,,,,,,0,,,1,7,,6,1,3,3,,0,1,0,0,1,0,0,0,0,1,,,,2,1,2,3,1,1,1,1,1,1,,1,,1,,,5,1,,,,,3,1,1,1,,,5,9,1,2,1,1,12,2016,0,12,20400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,0,20400,,1,3,3,
4,4,2016,1,791.70854977,1120.6221024,1,1,,,,,0,0,5,6,1,2,80,4,,2,5,2,,,,,0,,0,,,2,,,,,,,,0,3,2,,,,2,1,1,1,,0,0,1,0,0,0,0,0,0,1,,,3,3,1,3,4,4,4,4,3,2,2,,1,,1,,,7,,,,,,2,,,,,,99999998,99999998,1,1,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,,
6,4,2016,1,668.46648817,1252.0179177,1,1,,,,,0,0,5,6,1,1,80,1,,2,5,2,,,,,0,,0,,,2,,,,,,,,0,3,2,,,1,4,2,,,,0,1,1,0,0,0,0,1,0,1,,,5,2,2,,,,,,1,1,1,,1,,1,,,2,,,,,,4,,,,,,4,7,1,1,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,,
6,4,2016,2,634.99242658,1142.25529,1,2,,,,,0,0,5,6,2,2,80,1,,2,5,2,,,,,0,,0,,,2,,,,,,,,0,3,2,,,,5,1,2,2,,0,1,0,0,0,0,0,0,0,1,,,,2,2,,,,,,1,1,1,,1,,1,,,3,,,,,,2,,,,,,2,9,1,1,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,,
7,4,2016,1,848.81281111,1321.4883721,1,1,,,,,0,0,5,6,1,2,80,1,,2,5,2,,,,,0,,0,,,2,,,,,,,,0,3,2,,,,3,1,2,2,,0,1,0,0,0,0,0,0,0,1,,,5,3,1,2,3,1,1,3,1,1,1,,1,,1,,,7,,,,,,4,2,2,2,,,4,9,1,10,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,3,3,
7,4,2016,2,955.58387281,1380.1131409,1,2,,,,,0,0,5,6,2,1,80,1,,2,5,2,,,,,0,,0,,,2,,,,,,,,0,3,2,,,2,3,2,,,,0,0,0,1,0,0,0,0,0,1,,,,4,1,1,3,2,2,3,2,3,3,,1,,1,,,3,,,,,,2,2,1,3,,,7,7,1,13,,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,,
9,4,2016,1,1966.0646095,,1,1,C,,1,,52,1,2,1,1,1,35,1,,,,,1,1,1,5,52,,0,,2,,,,,,,,,0,,,5,6,,6,1,1,2,,0,1,0,0,0,0,0,0,0,1,,,,1,2,,,,,,1,1,1,,1,,1,,,5,1,1,,,1,2,,,,,,6,6,1,1,1,1,12,,22500,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,0,270000,2,,3,3,
