Siduri,SiduriMakorPitzul,wave,s_seker,MishkalMb,HRibitShnatit,HHashkaotShnatit,HDividendShnatit,HSchirutShnatit,HEsekShnatit,sumHAnashimShnatit,sumHGemelShnatit,sumHHishShnatit,sumHHulShnatit,sumHMilgaShnatit,sumHPensiaShnatit,sumHMosdotShnatitnew,SacShnatikolel_Lembnew,SachNefashot,Nefashot0_17,Nefashot18up,Men18up,Women18up,MisparKoma1,m_SetachMigrashBayitprati,M_ShuviDira,MbNifkadGalKodem,Ozeret1,k_ShaotOzeret1,TahasokaAcheretOzeret1,TahasokaOzeretMesh1,TahasokaOzeretSiu1,TahasokaOzeretYeLed1,Meconit1,k_MispMeconiyot1,Sfarim1,MazavKAtid1,MazavKAvar1,ChisachonAtid1,ChisachonHayom1,IdkunBaalut1,IdkunMegurimSchirut1,k_baalut1,m_DmeSchirutChodeshi,SinuyDira21,SinuyDiraP21,SugDira1,MspDirotBeKomatMegurim1,MispKomotBinyan1,MispDirotBinyan1,DiraMedurag1,SetachBayitpratY1,SetachDira1,MekorSetach1,K_MispHadarim1,K_MispHadarimMegurim1,MirpesetSherut1,ChederAronot1,MachsanBetochD1,MachsanMiD1,KamaSherutim1,ChanayaPratit1,AimMekura1,Maaliyot1,MirpesetChitzonit1,KamaMirpeset1,GinaPratit1,KamaGinaPratit1,GodelGinaPratit1,k_mizug1,HasakaPratit1,Kivun1,KamaKivun1,NofYam1,NofSetachYarok1,NofGag1,NofKvish1,NofRakevet1,NofAntena1,NofKvishPnimi1,NofSetachPatuch1,BaayaChoshech1,BaayaKvish1,BaayaRakevet1,BaayaMatos1,BaayaBiluy1,BaayaChinuch1,BaayaMifal1,BaayaZevel1,BaayaZihum1,BaayaRech1,BaayaHaznacha1,ShanaBniya1,OfenBaalut1,Mocher1,ShanaRechishaK1,ChodeshRechishaK1,MechirKnuya1,MatbeaKnuya1,ShanaRechishaB1,ChodeshRechishaB1,OfenBaalutMigrash1,MechirBniya1,MatbeaBniya1,AlutBniya1,MatbeaAlutBniya1,HagdalatDira1,SinuyimPnimiimBDira1,ShuviDiraYoter1
2,,5,2017,685.1404938,21600,0,0,13800,0,0,0,0,0,0,0,29112,64512,2,0,2,2,0,,,3200000,1,2,,,,,,1,1,5,3,4,4,3,1,,1,,2,2,4,2,4,2,2,,90,4,4,4,1,2,2,2,1,2,,0,2,,2,,,1,3,,,,,,,,,,,,,,,,,,,,,,4,1,2,1971,99999998,99999998,,,,,,,,,,,5
3,,5,2017,773.8802903,0,0,0,62400,0,0,0,0,0,0,60000,27564,197964,2,0,2,1,1,2,,2500000,1,2,,,,,,1,1,5,3,3,2,2,1,,1,,2,2,4,2,3,2,2,,60,3,3,3,1,2,2,1,2,2,,0,1,1,,,,3,1,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,1977,99999998,1,99999998,,99999998,,,,3
5,,5,2017,773.8802903,0,0,0,0,0,0,0,0,0,0,0,28460,28460,2,0,2,1,1,6,,,2,1,4,2,1,1,2,2,,3,3,3,4,3,,,2,10000,,,4,99999998,6,5,2,,99999998,,3,2,2,2,2,2,2,2,,8,1,1,,,,1,2,7,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,99999998,,,,,,,,,,,,,,,,
7,,5,2017,773.8802903,0,0,0,0,0,0,0,0,0,0,0,52788,52788,2,0,2,1,1,1,,1850000,1,1,2,2,1,2,2,2,,2,3,3,4,4,1,,1,,2,2,4,2,4,2,2,,72,3,3,2,1,2,2,1,2,2,,1,1,1,2,,,3,1,,,,,,,,,,,,,,,,,,,,,,7,1,2,1996,7,120000,2,,,,,,,,,,3
9,,5,2017,2030.006251,0,0,0,0,0,0,0,0,0,0,0,6403.083333,553603.0833,3,1,2,1,1,,,,1,2,,,,,,1,1,3,5,4,4,2,,1,2,3400,,,4,2,2,1,2,,75,4,3,2,1,2,2,2,1,1,2,0,2,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,5,2017,431.2471104,0,0,0,0,0,0,0,0,0,0,51225,58898,110123,2,0,2,1,1,,400,2500000,1,1,1,2,1,2,2,1,1,3,3,3,2,2,1,,1,,2,2,8,,,,2,,120,4,4,3,2,2,2,1,2,2,,0,1,1,,,,2,3,,,,,,,,,,,,,,,,,,,,,,3,1,2,1961,6,22500,7,,,,,,,,,,
11,,5,2017,525.0836984,0,0,0,0,0,0,0,0,0,0,34526,49488,84014,1,0,1,0,1,,,,1,2,,,,,,2,,5,3,3,2,2,,2,6,,,,6,,,,2,,120,4,4,4,2,2,2,1,2,2,,0,1,2,1,1,99999998,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,5,2017,645.942503,0,0,0,0,0,0,0,0,0,0,54000,42708,96708,1,0,1,0,1,8,,99999998,1,1,1,2,1,2,2,1,1,3,3,3,3,3,1,,1,,2,2,4,4,8,4,2,,70,1,4,4,1,2,2,2,2,1,1,2,1,1,,,,1,3,,,,,,,,,,,,,,,,,,,,,,8,1,2,2001,7,99999998,,,,,,,,,,,
17,,5,2017,470.279564,0,0,0,0,0,0,0,0,0,0,20155,52168,72323,3,0,3,2,1,,,99999998,1,2,,,,,,1,1,2,3,3,4,3,1,,1,,2,2,2,2,2,1,2,,57,3,3,3,2,2,2,2,1,2,,0,1,1,1,1,99999998,2,3,,,,,,,,,,,,,,,,,,,,,,2,1,1,1962,8,18000,7,,,,,,,,,,
19,,5,2017,397.9784089,0,0,0,45600,0,0,0,0,0,0,144000,116464,306064,2,0,2,1,1,,,2800000,1,1,1,2,1,2,2,1,1,3,3,3,2,2,1,,1,,2,2,5,,,,1,,200,3,5,5,1,2,2,2,4,1,2,0,,,1,1,60,1,3,,,,,,,,,,,,,,,,,,,,,,8,1,1,2008,7,350000,2,,,,,,,,,,
