Siduri,SiduriMakorPitzul,wave,s_seker,MishkalMb,HRibitShnatit,HHashkaotShnatit,HDividendShnatit,HSchirutShnatit,HEsekShnatit,sumHAnashimShnatit,sumHGemelShnatit,sumHHishShnatit,sumHHulShnatit,sumHMilgaShnatit,sumHPensiaShnatit,sumHMosdotShnatitnew,SacShnatikolel_Lembnew,zkifa_PensiaLemb,SachNefashot,Nefashot0_17,Nefashot18up,Men18up,Women18up,AimShinuiKtovet,KesefHutzAcher,MeshivHitnahalut,m_SetachMigrashBayitprati,SugMatbeaHutzAcher,HaskaPikdon1,HaskaChisachon1,HaskaNeemanut1,HaskaLoNeemanut1,SchumHalvaaLoDiyur1,m_HalvaaDiyur,m_HalvaaLoDiyur,m_MisgeretAshrai,m_YeshAshrai,M_ShuviDira,YitraNEMenayotBAhuz1,YitraNEMenayotBSchum1,YitraNEAgachMemshaltiBAhuz1,YitraNEAgachMemshaltiBSchum1,Ozeret1,k_ShaotOzeret1,TahasokaAcheretOzeret1,TahasokaOzeretMesh1,TahasokaOzeretSiu1,TahasokaOzeretYeLed1,Meconit1,k_MispMeconiyot1,Sfarim1,meshiv_hacnasot,MazavKAtid1,MazavKAvar1,ChisachonAtid1,ChisachonHayom1,Meshiv_Nechasim,IdkunBaalut1,IdkunMegurimSchirut1,k_baalut1,m_DmeSchirutChodeshi,SinuyDira21,SinuyDiraP21,SugDira1,MisparKoma1,MspDirotBeKomatMegurim1,MispKomotBinyan1,MispDirotBinyan1,DiraMedurag1,SetachBayitpratY1,SetachDira1,MekorSetach1,K_MispHadarim1,K_MispHadarimMegurim1,MirpesetSherut1,ChederAronot1,MachsanBetochD1,MachsanMiD1,KamaSherutim1,ChanayaPratit1,AimMekura1,Maaliyot1,MirpesetChitzonit1,KamaMirpeset1,GinaPratit1,KamaGinaPratit1,GodelGinaPratit1,k_mizug1,HasakaPratit1,Kivun1,KamaKivun1,NofYam1,NofSetachYarok1,NofGag1,NofKvish1,NofRakevet1,NofAntena1,NofKvishPnimi1,NofSetachPatuch1,BaayaChoshech1,BaayaKvish1,BaayaRakevet1,BaayaMatos1,BaayaBiluy1,BaayaChinuch1,BaayaMifal1,BaayaZevel1,BaayaZihum1,ShanaBniya1,OfenBaalut1,Mocher1,ShanaRechishaK1,ChodeshRechishaK1,MechirKnuya1,MatbeaKnuya1,ShanaRechishaB1,ChodeshRechishaB1,OfenBaalutMigrash1,MechirBniya1,MatbeaBniya1,AlutBniya1,MatbeaAlutBniya1,HagdalatDira1,SinuyimPnimiimBDira1,ShuviDiraYoter1,BaalutDiraLLoBealim1,BaalutDiraLLoBealimKama1,AtidMechiraDira1,AtidMechiraDiraN1,BaalutDiraNosefet1,BaalutDiraNosefetKama1,DiraNosefet121,DiraNosefetP121,KarkaAcheret1,m_MechirDiraKnuyaB12,m_KesefKniyaAtidit,KarkaChaklait1,KarkaChaklaitSetach1,MdidaKarkaChaklait,KarkaLoChaklait1,KamaKarkaLoChaklait1,GodelKarkaLoChaklait1,MdidaKarkaLoChaklait,m_Mechirkarka,KibelMechirDiraN1,KniyaAtiditDira1,MechiraDiraNKama1,MechiraDiraNosefet1,ShuviDirotLoMegurim1,GemelVPizuyimMB1,BituachMenahalimMb1,kPensiaMB1,PikdonotMB1,TChisachonMB1,kHishMB1,kNeemanutMB1,Cluster2015,ADechiyaMoedTashlum1,AKredit1,APrisatTushlum1,CheshbonChasum1,HalvaaLoDiyurAcher1,HalvaaLoDiyurAshrai1,HalvaaLoDiyurAvoda1,HalvaaLoDiyurBank1,HalvaaLoDiyurBituach1,HalvaaLoDiyurLising1,HeviDoch1,KesefHutzD1,KesefHutzDinarY1,KesefHutzE1,KesefHutzL1,MatbeaChisachon1,MatbeaHutz1,MatbeaLoNeemanut1,MatbeaNeemanut1,MatbeaPikdon1,MenayotMB1,Minus1,PniyaBank1,ShiirochChisachonChodesh1,ShiirochChisachonShana1,ShiirochChisachonYom1,ShiirochLoNeemanutChodesh1,ShiirochLoNeemanutShana1,ShiirochLoNeemanutYom1,ShiirochNeemanutChodesh1,ShiirochNeemanutShana1,ShiirochNeemanutYom1,ShiirochPikdonChodesh1,ShiirochPikdonShana1,ShiirochPikdonYom1,SugCheshbon1,m_SchumHalvaaDiyur1,M_ChodashimMinus1,M_PeamimPniyaBank1,M_ChodashimCheshbonChasum1,m_KesefMB1,OmdanShuviDira
2,,6,2018,888.8826998,0,0,0,0,0,0,0,0,0,0,0,14598,14598,0,2,0,2,2,0,1,,1,,,99999999,,,,,2,2,10000,1,99999998,,,,,2,,,,,,1,1,5,1,3,4,4,4,1,1,,1,,2,2,4,,2,4,2,2,,90,4,4,4,1,2,2,2,1,2,,0,2,,2,,,1,3,1,3,2,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,4,1,2,1971,99999998,99999998,,,,,,,,,,,,,,99999998,,2,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,2,1,2,2,2,2,2,1,2,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,0,,,1,0,,,,5,3114684.963
3,,6,2018,936.1599424,0,0,0,66000,0,0,0,0,0,0,220705,51810,434515,1,2,0,2,1,1,1,,2,,,1300000,,,,,2,2,99999998,1,2500000,,,,,2,,,,,,1,1,5,2,1,2,2,1,2,1,,1,,2,2,4,,2,3,2,2,,60,3,3,3,1,2,2,1,2,2,,0,1,1,,,,3,1,4,3,2,2,1,1,1,1,1,1,2,2,1,2,2,2,1,2,1,5,2,,,,,,1977,99999998,1,99999998,,99999998,,,,,,,2,2,1,1,,2,2,,99999998,2,,,2,,,,,,1,,2,,1,2,2,1,2,2,2,2,2,2,2,,,,,,,,,2,,,,,1,,,1,1,2,,,,,0,,,,,,11,2018,5,1,0,,,,5,1529538.494
5,,6,2018,936.1599424,0,0,0,0,0,0,0,0,0,0,0,29116,29116,0,2,0,2,1,1,1,,2,,,,,,,,2,2,50000,1,,,,,,1,4,2,1,1,2,2,,4,2,99999998,5,4,4,2,,1,2,10000,,,4,,99999998,6,5,2,,99999998,,3,2,2,2,2,2,2,2,,8,1,1,,,,1,2,7,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,1,1,2,2,2,1,2,2,1,2,2,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,5,
7,,6,2018,936.1599424,0,0,0,0,0,0,0,0,0,0,0,41454,41454,0,2,0,2,1,1,1,,1,,,,,,,,2,2,99999998,1,1800000,,,,,2,,,,,,2,,2,1,3,3,4,4,1,1,,1,,2,2,4,,2,4,2,2,,72,3,3,2,1,2,2,1,2,2,,1,1,1,2,,,3,1,5,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,7,1,2,1996,7,120000,2,,,,,,,,,,3,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,3,1730427.278
9,,6,2018,1822.447759,0,0,0,0,0,0,0,0,0,0,0,9094.166667,379894.1667,0,4,2,2,1,1,1,,1,,,,6000,,70000,,2,2,25000,1,,80,,1,,2,,,,,,1,2,4,1,4,2,4,3,1,,1,2,3500,,,4,,2,2,1,2,,75,4,3,2,1,2,2,2,1,1,2,0,2,,,,,2,3,4,4,2,2,2,2,2,,1,2,2,2,2,1,2,1,2,2,1,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,1,1,1,2,1,1,2,7,2,2,1,2,,,,,,,,,,,,1,2,1,,,1,1,2,11,2018,11,11,2018,11,,,,,,,1,0,2,,,3,
10,,6,2018,483.8130109,0,0,0,0,0,0,0,0,0,0,46800,41248,102448,0,2,0,2,1,1,1,,1,400,,,22000,,,,2,2,20000,1,4000000,,,,,1,1,2,1,2,2,1,1,3,1,3,3,2,3,1,1,,1,,2,2,8,,,,,2,2,120,4,4,3,2,2,2,1,2,2,,0,1,1,,,,2,3,8,4,2,2,1,2,2,2,2,2,2,1,2,1,2,1,2,1,,3,1,2,1961,6,22500,7,,,,,,,,,,4,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,1,2,1,2,2,8,2,2,2,,,,,,,,,,,2,,1,1,,,,2,2,,8,2018,31,,,,,,,,,,1,0,,,,2,2866399.574
11,,6,2018,697.433327,0,0,0,0,0,0,0,0,0,0,34062,32100,66162,1,1,0,1,0,1,1,,2,,,,,,,,2,2,0,0,99999998,,,,,1,1,2,1,2,2,2,,4,2,3,3,4,3,2,,2,1,,,,8,,,,,2,99999998,90,4,4,4,2,1,2,2,2,2,,0,1,,1,,120,1,3,1,3,2,1,1,2,2,1,1,1,2,1,2,1,2,2,2,2,2,4,4,,,,,,,,,,,,,1,1,,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,2,2,2,2,2,4,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,4,0,,,,99999998,
12,,6,2018,832.7959544,0,0,0,42000,0,0,0,0,0,0,102000,30723,174723,0,1,0,1,0,1,1,,1,,,1500,6000,99999999,,,2,2,30000,1,1500000,,,,,1,1,2,1,2,2,1,1,3,1,3,3,4,4,1,1,,1,,2,2,4,,4,8,4,2,,70,1,4,4,1,2,2,2,2,1,1,2,1,1,,,,1,3,2,3,2,1,1,1,2,1,1,2,2,1,2,1,2,1,2,1,1,8,1,2,2001,7,99999998,,,,,,,,,,,,1,1,2,2,,,,2,2,,,2,,,2,,,,,,2,,2,,1,2,1,1,1,1,1,7,2,2,1,2,,,,,,,,4,,3,,1,1,,,1,1,1,2,8,2018,26,0,,,0,,,8,2018,26,1,0,4,,,2,1466843.842
13,,6,2018,689.3315272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,,,3,,,,,,,,2,2,0,0,,,,,,2,,,,,,2,,3,3,3,3,3,3,3,,,2,300,,,4,3,2,3,,2,,52,4,3,2,2,2,2,2,1,2,,0,2,,2,,,2,3,5,2,2,1,1,2,2,2,1,2,2,1,2,1,2,1,2,1,1,99999998,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,2,2,1,2,2,2,2,5,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,4,0,,,,1,
17,,6,2018,464.1768841,0,0,0,0,0,0,0,0,0,0,20155,31794,51949,1,3,0,3,2,1,1,,1,,,9000,,,,,2,2,99999998,1,99999998,,,,,2,,,,,,1,2,2,1,3,3,4,3,1,1,,1,,2,2,2,,2,2,1,2,,57,3,3,3,2,2,2,2,1,2,,0,1,1,1,1,99999998,2,3,4,3,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1962,8,18000,7,,,,,,,,,,,2,,2,,,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,1,1,2,2,2,8,2,2,1,,,,,,,,,,,,,,2,,,1,2,2,,,,,,,,,,,7,2018,31,1,0,,,,3,1524194.622
