Siduri,wave,s_seker,MisparPrat,MishkalPrat,MishkalOrech,MezahePrat,Leom,YachasKirvaKalkali,SafaNosefetIvrit,SafaNosefetAravit,SafaNosefetAnglit,SafaNosefetRusit,SafaNosefetZarfatit,SafaNosefetSfaradit,SafaNosefetIdish,SafaNosefetLoYodea,K_SemelMiktzLim1,K_SemelMiktzLim2,K_sug_mosad,K_ShnLimKlali,K_SafaIkarit,K_SfatEm,bmi,Dat1,DatAteist1,DatiutLoYehudi1,DatiutYehudi1,Gil1,Mazav1,MisparMeshivP1,Yachas1,NifkadGalKodemH1,MaonGan1,MaonGanYesodi1,BateySeferLamad1,BSYsh1,IvritDibur1,IvritKria1,IvritKtiva1,Kita1,KriaHanaa1,limudim1,MiktzLim1Asakim1,MiktzLim1MadaeiHevra1,MiktzLim2Asakim1,MiktzLim2MadaeiHevra1,TeudaEretz1,TeudaGvoha1,BeayaBriut1,BeayaMafria1,KoshiHalicha1,KoshiLehitrachetz1,KoshiLevush1,KoshiMB1,KoshiReia1,KoshiShmia1,KoshiZikaron1,MatzavBriut1,K_Gova,K_Mishkal,MisparAv,MisparEm,MisparAchrai,TchunatAvodaShvuit,TchunatAvodaBederechKlal,TchunatAvodaShnatit,ShaotBdk,SemelAnaf1,SemelAnafY1,SemelMishlach1,SemelMishlachY1,HaimMemune,HaimMenahel,ImutAnaf1,ImutAnafAgaf1,ImutMishlach1,Zminut1,SibaLoZamin1,ChipesChodesh1,MekomotAvoda1,MamadAvoda1,KamaKfufim1,MekabelSachar1,Yamim1,C_SachLemaase1,Oved351,MisraMelea1,IkaritPachot351,MikumAvoda11,AvadShana1,MamadAvoday1,MekabelSacharY1,YamimY1,ShaotAvodaY1,Oved35Y1,MisraMeleaY1,MikumAvodaY11,KamaAvadK1,SibaIkarit12Chod1,ChipesShana1,ShanaAzmai,Avad12Hodashim,BrutoSachir,AchnBruAvodKodem1,BrutoAzmaiShnati1,kamaAvadNYch,RechevChevra1,rechevkalul1,havraakalul1,matanakalul1,maanakkalul1,hishtatfutkalul1,tashlumacherkalul1,pitzuyimkalul1,pidyonkalul1,bituach1,misparhodashimbituah1,schumbituach1,achnsmartafut1,achnmeshekbayit1,achnshiurprati1,achnhartzaa1,achacherz1,misparhodashimsmartafut1,misparhodashimmeshekbayit1,misparhodashimshiurprati1,misparhodashimhartzaa1,misparhodashimachacher1,schumsmartafut1,schummeshekbayit1,schumachnshiurprati1,schumachnhartzaa1,schumachacherz1,kamaAvadN2,hatavotLoBBruto,SacShnati_LePratMeAvoda,Tlush1,Ofen_Mehush1,HashavAni1,KamaAvaddY1
2,6,2018,1,1018.1162433,1942.3803183,01-01004-01,1,1,0,0,1,0,0,0,0,0,,,,4,1,1,25.469387755,1,,,3,54,5,,1,1,,,1,,,,,,4,1,,,,,,2,2,,,,,,1,1,1,1,7,8,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,5,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,
2,6,2018,2,1018.1162433,2882.3678764,01-01004-02,1,3,1,1,0,0,0,0,0,0,,,,2,1,13,25.529644871,1,,,,80,4,,6,1,,,1,,1,1,1,,4,1,,,,,,7,1,2,2,1,2,3,2,1,2,3,4,6,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,
3,6,2018,1,842.35406717,,01-01005-01,1,2,0,1,1,0,0,0,0,0,1,,1,5,1,1,19.777698667,1,,,,70,1,,1,2,,,1,,,,,,4,1,,,,,1,4,2,,,,,,1,1,1,1,3,3,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,
3,6,2018,2,1034.0306364,,01-01005-02,1,1,0,1,0,0,0,0,0,0,1,7,1,6,1,1,31.221303949,1,,,4,76,1,,2,1,,,1,,,,,,4,1,,,,,1,5,1,3,2,1,1,1,1,1,1,1,5,10,,,,1,1,2,40,M,,2,,2,,1,1,1,,,,1,2,,,5,40,,0,,,,,,,,,,,0,,,2018,12,0,0,96000,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,96000,,1,4,
6578,6,2018,1,1811.7928428,,01-01006-01,1,1,0,0,0,0,0,0,0,1,,,,4,1,1,23.805401662,1,,,1,68,1,,1,1,,,1,,,,,,4,1,,,,,,1,1,2,3,2,1,4,1,2,1,2,2,4,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,
5,6,2018,2,905.89645083,,01-01008-02,1,1,0,0,1,0,1,0,0,0,,,,6,1,1,25.964542172,1,,,3,80,1,,2,1,,,1,,,,,,4,1,,,,,,2,2,,,,,,1,2,1,3,3,5,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,
7,6,2018,1,905.89645083,1958.7942166,01-01010-01,1,1,1,0,1,0,0,0,0,0,,,,3,1,10,28.959000152,1,,,5,80,1,,1,1,,,1,,2,2,2,,3,1,,,,,,7,1,1,3,1,2,3,1,1,2,3,4,8,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,
7,6,2018,2,1072.2670651,1884.4877322,01-01010-02,1,2,1,0,0,0,0,0,1,0,,,,3,1,13,22.460034351,1,,,,80,1,,2,1,,,1,,1,1,1,,1,1,,,,,,7,1,1,1,2,2,4,3,3,3,4,6,6,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,
5008,6,2018,1,1373.7134148,,01-01011-01,1,1,0,0,0,0,0,0,0,0,,,,5,1,1,,1,,,5,71,3,,1,1,,,1,,,,,,5,1,,,,,,3,1,1,3,3,3,4,3,3,1,4,7,99999998,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,
9,6,2018,1,1988.0885293,,01-01014-01,1,1,0,0,1,0,0,0,0,0,5,6,1,6,1,1,23.183391003,1,,,,38,1,,1,1,,,1,,,,,,2,1,,,,,1,5,2,,,,,,1,1,1,1,6,6,,,,1,1,2,50,C,,1,,1,3,1,1,1,,,,1,1,2,1,5,35,,0,,2,,,,,,,,,0,,,,12,27000,0,0,12,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,324000,2,,4,
9,6,2018,5,1699.6050501,,01-01014-05,1,2,0,0,1,0,0,0,0,0,5,,1,6,1,1,23.255018638,1,,,5,37,1,,2,1,,,1,,,,,,2,1,,,,,1,5,2,,,,,,1,1,1,1,6,6,,,,6,0,2,0,,Q,,2,,,,,,,,2,,,,,,0,,0,,,1,1,1,4,40,,,1,0,,,,12,3900,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,46800,2,,2,12
